Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       18/08/22
Time:       12:27
Revision:   80e22c56b904ecb4ed3fd986442c5fc02bdcf813
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C64","0.033 µF","TopLayer","CAP_0603_1608","4065.000","1180.000","270","CAP CER 0.033UF 50V X7R 0603"
"C63","150 pF","TopLayer","CAP_0603_1608","4960.000","460.000","90","CAP CER 150PF 50V C0G/NPO 0603"
"C62","10000 pF","TopLayer","CAP_0603_1608","3980.000","1090.000","360","CAP CER 10000PF 50V NP0 0603"
"C61","0.047 µF","TopLayer","CAP_0603_1608","5390.000","934.095","90","CAP CER 0.047UF 25V X7R 0603"
"C60","0.047 µF","TopLayer","CAP_0603_1608","5390.000","715.000","270","CAP CER 0.047UF 25V X7R 0603"
"C59","10000 pF","TopLayer","CAP_0603_1608","5005.000","895.000","270","CAP CER 10000PF 50V NP0 0603"
"C58","1000 pF","TopLayer","CAP_0402_1005","5004.765","795.000","90","CAP CER 1000PF 50V NP0 0402"
"C57","33 µF","TopLayer","CAP_POL_2917_7343","4405.000","855.000","90","CAP TANT 33UF 20% 35V 2917"
"C56","10 µF","TopLayer","CAP_0805_2012","4885.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C55","10 µF","TopLayer","CAP_0805_2012","4805.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C54","10 µF","TopLayer","CAP_0805_2012","4725.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C53","10 µF","TopLayer","CAP_0805_2012","4645.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C52","10 µF","TopLayer","CAP_0805_2012","4565.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C51","10 µF","TopLayer","CAP_0805_2012","4485.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C50","10 µF","TopLayer","CAP_0805_2012","4405.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C49","10 µF","TopLayer","CAP_0805_2012","4325.906","488.956","90","CAP CER 10UF 50V X5R 0805"
"C48","0.1 µF","TopLayer","CAP_0603_1608","3975.079","601.496","180","CAP CER 0.1UF 50V X7R 0603"
"C47","0.47 µF","TopLayer","CAP_0805_2012","4125.000","1021.496","270","CAP CER 0.47UF 50V X7R 0805"
"C46","33 µF","TopLayer","CAP_POL_2917_7343","3290.000","570.000","180","CAP TANT 33UF 20% 35V 2917"
"C45","10 µF","TopLayer","CAP_0805_2012","3695.000","565.000","270","CAP CER 10UF 50V X5R 0805"
"C44","10 µF","TopLayer","CAP_0805_2012","3769.409","565.000","270","CAP CER 10UF 50V X5R 0805"
"C43","100 pF","TopLayer","CAP_0603_1608","3730.000","1166.373","90","CAP CER 100PF 50V C0G/NP0 0603"
"C42","100 pF","TopLayer","CAP_0603_1608","3727.327","941.909","90","CAP CER 100PF 50V C0G/NP0 0603"
"C41","100 pF","TopLayer","CAP_0603_1608","3575.000","954.252","0","CAP CER 100PF 50V C0G/NP0 0603"
"C40","1 µF","TopLayer","CAP_0603_1608","3575.000","1085.000","360","CAP CER 1UF 35V X7R 0603"
"C39","2.2 µF","TopLayer","CAP_0603_1608","3575.000","1215.000","180","CAP CER 2.2UF 35V X5R 0603"
"C38","15 pF","TopLayer","CAP_0402_1005","3878.376","606.536","90","CAP CER 15PF 50V C0G/NP0 0402"
"C37","680 pF","TopLayer","CAP_0402_1005","3836.536","606.536","90","CAP CER 680PF 50V NP0 0402"
"C36","4700 pF","TopLayer","CAP_0402_1005","3679.650","796.545","90","CAP CER 4700PF 50V X7R 0402"
"C18","33 pF","TopLayer","CAP_0402_1005","3727.327","796.545","90","CAP CER 33PF 50V CH 0402"
"R48","68 kOhms","TopLayer","RES_0402_1005","3497.000","653.000","90","RES 68K OHM 1% 1/16W 0402"
"R47","200 kOhms","TopLayer","RES_0402_1005","3544.000","653.000","270","RES 200K OHM 0.1% 1/10W 0402"
"U3","RT8258GE","TopLayer","SOT100P279X130-6N","2385.000","576.000","0","RICHTEK 1.2A, 24V, 700kHz Step-Down Converter SOT23-6"
"D3","LXES15AAA1-153","TopLayer","0402","792.000","736.000","0","TVS DIODE 4V 1005"
"R20","0 Ohms","TopLayer","RES_1210_3225","500.000","1176.000","360","RES 0 OHM JUMPER 1/2W 1210"
"R18","150 mOhms","TopLayer","RES_0603_1608","1718.000","1189.000","90","RES 0.15 OHM 0.5% 1/5W 0603"
"L2","47 µH","TopLayer","TAIYO_YUDEN_NRS5030","2213.000","1115.000","180","FIXED IND 47UH 700MA 325MOHM SMD"
"IC3","HT7750B","TopLayer","SOT95P280X145-3N","2030.000","1172.000","180","HT7750B 5V OUT Boost DC/DC Converter 100mA"
"D1","B230-13-F","TopLayer","DO214AA_SMB","2670.000","1170.000","180","DIODE SCHOTTKY 30V 2A SMB"
"C16","22 µF","TopLayer","CAP_1206_3216_-_0.8MM","1855.000","1165.000","360","CAP CER 22UF 6.3V X7R 1206"
"C14","47 µF","TopLayer","CAP_0603_1608","2408.000","1157.000","180","CAP CER 47UF 4V X5R 0603"
"R42","0 Ohms","TopLayer","RES_1210_3225","2018.008","723.779","180","RES 0 OHM JUMPER 1/2W 1210"
"R39","0 Ohms","TopLayer","RES_0603_1608","850.394","1026.101","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"R38","0 Ohms","TopLayer","RES_0603_1608","3525.000","738.925","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"R37","0 Ohms","TopLayer","RES_0603_1608","849.972","1092.242","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"R36","0 Ohms","TopLayer","RES_0603_1608","3525.000","802.559","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"R35","0 Ohms","TopLayer","RES_0603_1608","797.972","1151.290","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"U5","STM32F030F4P6","TopLayer","TSOP65P640X120-20N","1545.748","954.014","90","Value-line Arm-based 32-bit MCU with up to 256 KB Flash, timers, ADC, communication interfaces, 2.4-3.6 V operation - TSSOP20 20-pin"
"R34","10 Ohms","TopLayer","RES_0805_2012","1298.110","565.134","90","RES SMD 10 OHM 0.1% 1/10W 0805"
"R33","10 Ohms","TopLayer","RES_0805_2012","1375.110","565.134","90","RES SMD 10 OHM 0.1% 1/10W 0805"
"R32","1 Ohms","TopLayer","RES_0402_1005","780.162","808.000","90","RES 1 OHM 5% 1/16W 0402"
"R31","1 Ohms","TopLayer","RES_0402_1005","789.000","687.000","180","RES 1 OHM 5% 1/16W 0402"
"R30","1 kOhms","TopLayer","RES_0402_1005","1077.000","992.000","360","RES SMD 1K OHM 5% 1/16W 0402"
"R29","1 MOhms","TopLayer","RES_0603_1608","1728.346","708.661","360","RES 1M OHM 5% 1/10W 0603"
"R28","510 Ohms","TopLayer","RES_0402_1005","1430.913","746.399","90","RES 510 OHM 1% 1/16W 0402"
"R27","10 Ohms","TopLayer","RES_0805_2012","3040.630","909.606","180","RES SMD 10 OHM 0.1% 1/10W 0805"
"R26","10 Ohms","TopLayer","RES_0805_2012","3040.630","829.528","180","RES SMD 10 OHM 0.1% 1/10W 0805"
"R25","10 Ohms","TopLayer","RES_0805_2012","3040.630","749.528","180","RES SMD 10 OHM 0.1% 1/10W 0805"
"R24","510 Ohms","TopLayer","RES_0402_1005","1381.937","746.399","90","RES 510 OHM 1% 1/16W 0402"
"IC2","DMN67D8L-7","TopLayer","DIODES_SOT-23-3","987.000","1037.000","360","MOSFET N-CH 60V 210MA SOT23"
"IC1","CP2102N-A02-GQFN28R","TopLayer","SILICON_LABS_QFN-28_5x5MM","1255.039","984.526","270","IC USB TO UART BRIDGE QFN28"
"D11","White","TopLayer","LED_0805_2012","1218.110","565.134","90","0805 LED WHITE, YELLOW DIFFUSED"
"D10","White","TopLayer","LED_0805_2012","1455.110","565.134","90","0805 LED WHITE, YELLOW DIFFUSED"
"D8","LXES15AAA1-153","TopLayer","0402","831.000","793.043","270","TVS DIODE 4V 1005"
"D7","White","TopLayer","LED_0805_2012","3195.630","909.528","360","0805 LED WHITE, YELLOW DIFFUSED"
"D6","White","TopLayer","LED_0805_2012","3195.630","829.528","360","0805 LED WHITE, YELLOW DIFFUSED"
"D5","White","TopLayer","LED_0805_2012","3195.000","750.000","360","0805 LED WHITE, YELLOW DIFFUSED"
"C35","1 µF","TopLayer","CAP_0402_1005","1142.362","852.493","180","CAP CER 1UF 35V X5R 0402"
"C34","1 µF","TopLayer","CAP_0402_1005","1224.409","810.365","90","CAP CER 1UF 35V X5R 0402"
"C33","27 pF","TopLayer","CAP_0402_1005","1052.362","922.755","270","CAP CER 27PF 50V C0G/NP0 0402"
"C32","27 pF","TopLayer","CAP_0402_1005","767.362","899.605","270","CAP CER 27PF 50V C0G/NP0 0402"
"C31","0.1 µF","TopLayer","CAP_0402_1005","1751.968","939.762","270","CAP CER 0.1UF 10V X5R 0402"
"C30","10000 pF","TopLayer","CAP_0402_1005","1510.748","754.014","90","CAP, MLCC, 0402/1005, 10V, X7R,"
"C29","1 µF","TopLayer","CAP_0402_1005","1555.748","754.014","90","CAP CER 1UF 10V X5R 0402"
"C28","0.1 µF","TopLayer","CAP_0402_1005","1487.953","1151.337","270","CAP CER 0.1UF 10V X5R 0402"
"C27","0.1 µF","TopLayer","CAP_0402_1005","1532.953","1151.337","270","CAP CER 0.1UF 10V X5R 0402"
"C26","4.7 µF","TopLayer","CAP_0402_1005","1577.953","1151.337","270","CAP CER 4.7UF 10V X5R 0402"
"C25","0.1 µF","TopLayer","CAP_0402_1005","1205.039","1147.203","270","CAP CER 0.1UF 10V X5R 0402"
"C24","4.7 µF","TopLayer","CAP_0402_1005","1160.039","1147.203","270","CAP CER 4.7UF 10V X5R 0402"
"U2","MAX77958EWV+","TopLayer","BGA30C50P6X5_307X262X64","1011.575","781.692","0","Standalone USB Type-C and USB Power Delivery Controller"
"J1","1054500101","TopLayer","Molex_1054500101","562.795","782.976","270","CONN RCP USB3.1 TYPEC 24P SMD RA"
"R21","32.4 kOhms","TopLayer","RES_0402_1005","2265.000","572.519","270","RES SMD 32.4KOHM 0.1% 1/16W 0402"
"R19","100 kOhms","TopLayer","RES_0402_1005","2215.000","571.771","90","RES 100K OHM 0.1% 1/10W 0402"
"R17","120 kOhms","TopLayer","RES_0402_1005","920.000","641.338","360","RES 120K OHM 1% 1/16W 0402"
"R16","120 kOhms","TopLayer","RES_0402_1005","920.000","691.338","360","RES 120K OHM 1% 1/16W 0402"
"R15","649 kOhms","TopLayer","RES_0402_1005","1022.638","641.338","360","RES 649K OHM 1% 1/16W 0402"
"R14","649 kOhms","TopLayer","RES_0402_1005","1023.583","691.338","360","RES 649K OHM 1% 1/16W 0402"
"R13","200 kOhms","TopLayer","RES_0402_1005","640.000","1022.420","180","RES 200K OHM 0.1% 1/10W 0402"
"R12","2.2 kOhms","TopLayer","RES_0402_1005","665.000","1095.000","90","RES 2.2K OHM 0.1% 1/10W 0402"
"R11","2.2 kOhms","TopLayer","RES_0402_1005","740.000","1092.000","360","RES 2.2K OHM 0.1% 1/10W 0402"
"L3","10 µH","TopLayer","TAIYO_YUDEN_NR1005","2500.000","860.787","90","FIXED IND 10UH 4.1A 32.5MOHM SMD"
"D4","B230-13-F","TopLayer","DO214AA_SMB","2795.000","685.787","90","DIODE SCHOTTKY 30V 2A SMB"
"D2","1N4148W-TP","TopLayer","SOD-123","2200.000","710.787","270","DIODE GEN PURP 100V 150MA SOD123"
"C19","22 µF","TopLayer","CAP_1206_3216_-_0.8MM","2819.000","910.000","360","CAP CER 22UF 6.3V X7R 1206"
"C17","10000 pF","TopLayer","CAP_0402_1005","2265.000","667.519","270","CAP CER 10000PF 10V X7R 0402"
"C15","10 µF","TopLayer","CAP_1206_3216_-_0.8MM","2580.000","585.787","180","CAP CER 10UF 25V X7R 1206"
"C13","1 µF","TopLayer","CAP_0402_1005","1110.236","916.338","90","CAP CER 1UF 10V X5R 0402"
"C12","1 µF","TopLayer","CAP_0402_1005","915.000","828.000","270","CAP CER 1UF 6.3V X5R 0402"
"C11","1 µF","TopLayer","CAP_0402_1005","882.362","736.338","360","CAP CER 1UF 6.3V X5R 0402"
"C10","1 µF","TopLayer","CAP_0402_1005","1007.362","922.755","270","CAP CER 1UF 6.3V X5R 0402"
"C9","1 µF","TopLayer","CAP_0402_1005","1142.362","801.377","180","CAP CER 1UF 6.3V X5R 0402"
"C8","2.2 µF","TopLayer","CAP_0402_1005","1142.362","753.661","180","CAP CER 2.2UF 10V X5R 0402"
